location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20240113T2100,-4.869755,90.18758,6.28713,166.75948
20240113T2200,-4.8997545,88.66583,5.5887027,165.06857
20240113T2300,-5.1497545,88.77352,6.28713,166.75948
20240114T0000,-5.269755,88.621864,6.28713,166.75948
20240114T0100,-5.619755,89.34037,6.725354,164.47589
20240114T0200,-6.099755,89.77367,6.725354,164.47589
20240114T0300,-6.349755,88.83815,6.924738,171.02737
20240114T0400,-6.499755,89.308235,6.489992,176.82018
20240114T0500,-6.459755,87.925064,5.8603754,169.38034
20240114T0600,-6.6597548,87.41776,6.6185193,157.61987
20240114T0700,-6.6297545,86.73746,6.489992,146.30994
20240114T0800,-6.079755,83.408844,5.3999996,143.1301
20240114T0900,-4.829755,82.37732,2.968636,165.96376
20240114T1000,-5.209755,86.85971,5.8048253,172.87498
20240114T1100,-2.8397546,77.707695,6.489992,183.17982
20240114T1200,-1.1997546,70.04216,6.9899354,191.88866
20240114T1300,-0.8097546,70.88783,6.9527545,201.2505
20240114T1400,0.1202454,69.17516,5.634891,206.56505
20240114T1500,-0.9197546,81.01195,7.968939,198.43495
20240114T1600,-1.7597545,81.05778,7.69592,190.7843
20240114T1700,-1.1197546,77.496346,6.725354,195.52411
20240114T1800,-0.75975454,76.97783,8.39657,210.96376
20240114T1900,-0.48975456,84.81446,9.504272,232.69606
20240114T2000,-0.6797546,87.23329,8.534353,242.35403
20240114T2100,-0.3097546,86.30788,7.5942082,238.57043
20240114T2200,-0.51975465,89.55692,7.145796,220.91438
20240114T2300,-0.49975455,89.02767,7.8954163,223.15239
20240115T0000,-1.0097545,89.907646,8.0899935,237.72437
20240115T0100,-1.0997546,89.36266,7.8954163,245.77226
20240115T0200,-1.0197546,86.28188,8.0899935,237.72437
20240115T0300,-1.1397547,85.87866,7.289445,237.09476
20240115T0400,-0.61975455,84.037476,6.696387,233.74615
20240115T0500,-0.62975454,84.28842,6.193674,234.46233
20240115T0600,-0.4297546,83.938866,6.638072,220.6013
20240115T0700,-1.0897546,83.7174,6.989936,214.50853
20240115T0800,-1.0097545,83.28908,7.9036193,210.06859
20240115T0900,-0.34975457,82.57865,6.9153743,218.65982
20240115T1000,1.5202454,75.01767,10.514218,231.95296
20240115T1100,2.0202456,72.10111,13.363711,242.74467
20240115T1200,2.1202455,71.7467,15.978484,247.47943
20240115T1300,2.0402455,73.07982,15.39184,259.2157
20240115T1400,1.9802454,74.82919,14.471821,264.28943
20240115T1500,1.7302454,76.923965,13.684735,268.49255
20240115T1600,1.5102453,78.85028,12.261158,266.63354
20240115T1700,1.1102455,80.497955,10.105681,265.91437
20240115T1800,0.5902454,78.27861,9.007196,267.7094
20240115T1900,-0.46975458,78.976425,7.9526596,264.80557
20240115T2000,-0.8497546,80.59661,6.162207,263.29016
20240115T2100,-2.4797544,81.37231,4.802999,257.00537
20240115T2200,-1.6297547,80.71067,5.771239,266.42368
20240115T2300,-2.8997545,83.96001,6.28713,256.7595
20240116T0000,-3.7797546,85.0633,5.1919937,236.30994
20240116T0100,-4.2797546,85.58444,5.1919937,213.69006
20240116T0200,-5.209755,87.062256,4.6938252,184.39871
20240116T0300,-5.8997545,89.865974,4.1046314,164.74487
20240116T0400,-6.3197546,91.089485,3.6,143.1301
20240116T0500,-6.6297545,90.4895,4.39436,124.99202
20240116T0600,-6.9097548,90.88572,5.0911684,135.0
20240116T0700,-6.6697545,89.638916,5.1165614,140.71059
20240116T0800,-5.789755,87.94078,5.0911684,135.0
20240116T0900,-3.5497546,83.992226,3.096837,125.537674
20240116T1000,-2.2397547,81.722725,3.7064266,150.94539
20240116T1100,-0.6797546,75.03223,4.896529,162.89728
20240116T1200,0.5402454,68.38361,5.6920996,161.56505
20240116T1300,1.4602454,64.08035,5.1544156,167.90524
20240116T1400,1.8202454,62.58501,3.219938,153.43495
20240116T1500,1.5902454,59.49782,3.8939953,123.69006
20240116T1600,0.9502454,64.43986,4.39436,124.99202
20240116T1700,-2.0797548,78.08904,5.4833565,113.19859
20240116T1800,-3.6297545,86.13563,4.379589,99.46232
20240116T1900,-3.3697548,87.03128,4.2136917,109.9831
20240116T2000,-2.4497547,84.09029,3.8939953,123.69006
20240116T2100,-1.6697546,81.44281,4.6102495,141.34018
20240116T2200,-1.1897546,81.64383,3.0547013,135.0
20240116T2300,-0.9697546,84.62088,5.00128,149.74356
20240117T0000,-0.6697546,89.47469,5.00128,149.74356
20240117T0100,-0.49975455,94.39894,5.1919937,146.30994
20240117T0200,-0.24975461,95.88794,5.692099,145.30484
20240117T0300,0.040245414,96.752235,6.3690495,137.2906
20240117T0400,0.2702454,97.3314,7.145796,139.08562
20240117T0500,0.6602454,98.20312,7.6367526,135.0
20240117T0600,0.89024544,98.64041,8.404285,133.26428
20240117T0700,1.4902453,97.66435,8.14587,135.0
20240117T0800,1.9902455,97.472015,8.287822,145.61966
20240117T0900,2.5402455,97.21345,9.085988,146.30994
20240117T1000,2.5102453,97.0727,10.137692,163.49564
20240117T1100,4.150245,95.02435,10.390226,165.96376
20240117T1200,5.7002454,94.17682,11.212135,174.47246
20240117T1300,8.210245,90.37079,12.245294,181.68468
20240117T1400,9.760245,87.334946,11.885453,181.7357
20240117T1500,10.200245,87.61889,11.252519,187.35239
20240117T1600,10.160245,89.42645,13.009903,194.42078
20240117T1700,10.200245,91.21186,15.937878,198.43495
20240117T1800,10.500245,90.98692,17.917007,202.44275
20240117T1900,10.530245,90.12921,17.114204,202.24902
20240117T2000,10.490245,89.75948,15.937878,198.43495
20240117T2100,10.710245,89.77796,16.516901,200.40988
20240117T2200,10.850245,88.04131,14.168641,207.21611
20240117T2300,10.930245,88.768364,15.496736,210.73549
20240118T0000,10.870245,89.48777,15.2947035,206.56505
20240118T0100,10.700245,89.10967,15.778518,207.14969
20240118T0200,10.520246,88.55014,17.174677,213.02386
20240118T0300,10.240245,87.62288,15.315873,209.57784
20240118T0400,9.500245,88.57572,13.207634,197.44719
20240118T0500,9.410245,88.3244,14.84318,194.03624
20240118T0600,10.130245,86.244705,18.514643,206.56505
20240118T0700,10.3102455,87.093285,18.678415,207.55281
20240118T0800,10.580245,86.6475,20.969807,214.50851
20240118T0900,10.640245,86.24147,21.915691,222.337
20240118T1000,10.500245,86.34398,18.440998,231.3402
20240118T1100,9.950245,86.81778,16.263872,242.30054
20240118T1200,8.990245,90.93325,15.315873,299.57785
20240118T1300,6.0702453,96.46404,19.137648,343.61047
20240118T1400,2.9402456,91.33941,15.328561,350.5377
20240118T1500,1.3302454,87.85699,11.631956,338.1986
20240118T1600,1.2102454,87.52129,9.826088,331.55707
20240118T1700,1.1602454,88.42047,8.557102,337.75098
20240118T1800,1.0802454,89.653854,7.628263,340.70996
20240118T1900,0.9402454,90.69883,7.072878,345.25644
20240118T2000,0.6002454,92.348366,7.072878,345.25644
20240118T2100,0.4002454,92.40006,7.172949,342.47443
20240118T2200,0.16024542,90.69272,8.647496,2.3859253
20240118T2300,-0.05975461,89.60436,9.422101,353.41806
20240119T0000,-0.3697546,88.382034,9.255571,346.50427
20240119T0100,-0.5797546,87.50614,6.12,331.92752
20240119T0200,-0.98975456,87.653854,5.634891,333.43497
20240119T0300,-1.3097546,88.40804,5.0142193,338.9625
20240119T0400,-1.4697546,87.59671,6.297428,329.03625
20240119T0500,-2.2497544,89.23886,6.12,331.92752
20240119T0600,-2.5597544,89.06994,6.151683,339.44397
20240119T0700,-3.1097546,90.02919,5.1544156,347.90524
20240119T0800,-2.1197548,88.515434,3.219938,333.43497
20240119T0900,-1.1097546,86.011665,3.6179552,5.7105865
20240119T1000,0.060245395,85.016205,5.5887027,14.931412
20240119T1100,0.9402454,76.77697,6.439876,26.565033
20240119T1200,1.2602453,69.542564,5.991594,32.735214
